Summary,,,,,,,,,,,,,,,,,,,,,,,,
Bin Size,15 minutes,,,,,,,,,,,,,,,,,,,,,,,
Time Zone,America/Toronto,,,,,,,,,,,,,,,,,,,,,,,
Start Time,1/1/2020 0:00,,,,,,,,,,,,,,,,,,,,,,,
End Time,2/29/2020 23:59,,,,,,,,,,,,,,,,,,,,,,,
Location,Totten Street and Huron Church Road,,,,,,,,,,,,,,,,,,,,,,,
Latitude and Longitude,"42.28574518,-83.05701204",,,,,,,,,,,,,,,,,,,,,,,
Lights,,,,,,,,,,,,,,,,,,,,,,,,
Entry,North,,,,,,East,,,,,,South,,,,,,West,,,,,
Direction,Southbound,,,,,,Westbound,,,,,,Northbound,,,,,,Eastbound,,,,,
Start Time,Right,Thru,Left,U-Turn,Peds CW,Peds CCW,Right,Thru,Left,U-Turn,Peds CW,Peds CCW,Right,Thru,Left,U-Turn,Peds CW,Peds CCW,Right,Thru,Left,U-Turn,Peds CW,Peds CCW
1/1/2020 21:15,0,62,9,0,0,0,7,3,6,0,0,0,5,75,8,0,0,0,13,0,2,0,0,0
1/1/2020 21:30,0,66,3,0,0,0,11,3,4,0,0,0,6,72,8,0,0,0,3,2,1,0,0,0
1/1/2020 21:45,1,67,5,0,0,0,7,1,3,0,0,0,6,86,4,0,0,0,10,4,2,0,0,0
1/1/2020 22:00,0,81,4,0,0,0,8,3,5,0,0,0,5,58,7,0,0,0,6,2,1,0,0,0
1/1/2020 22:15,2,64,2,0,0,0,7,2,5,0,0,0,5,60,5,0,0,0,8,1,2,0,0,0
1/1/2020 22:30,0,67,5,0,0,0,6,0,4,0,0,0,1,61,15,0,0,0,8,2,0,0,0,0
1/1/2020 22:45,0,48,4,0,0,0,3,2,3,0,0,0,2,62,11,0,0,0,7,0,0,0,0,0
1/1/2020 23:00,0,60,5,0,0,0,6,1,6,0,0,0,4,42,6,0,0,0,15,1,1,0,0,0
1/1/2020 23:15,1,43,1,0,0,0,2,1,3,0,0,0,2,34,1,0,0,0,6,1,1,0,0,0
1/1/2020 23:30,0,39,3,0,0,0,3,2,6,0,0,0,1,42,2,0,0,0,3,0,0,0,0,0
1/1/2020 23:45,1,43,6,0,0,0,3,1,3,0,0,0,1,43,1,0,0,0,6,1,0,0,0,0
1/2/2020 0:00,1,41,3,0,0,0,5,1,2,0,0,0,0,35,2,0,0,0,5,0,1,0,0,0
1/2/2020 0:15,0,32,3,0,0,0,1,2,0,0,0,0,4,30,3,0,0,0,2,0,0,0,0,0
1/2/2020 0:30,0,25,1,0,0,0,0,0,0,0,0,0,0,16,3,0,0,0,4,0,0,0,0,0
1/2/2020 0:45,0,35,1,0,0,0,1,0,1,0,0,0,3,32,1,0,0,0,0,0,1,0,0,0
1/2/2020 1:00,0,29,1,0,0,0,1,1,1,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
1/2/2020 1:15,0,23,2,0,0,0,1,0,3,0,0,0,1,17,2,0,0,0,1,1,0,0,0,0
1/2/2020 1:30,1,16,0,0,0,0,2,0,0,0,0,0,0,10,1,0,0,0,2,0,0,0,0,0
1/2/2020 1:45,0,15,2,0,0,0,2,0,0,0,0,0,1,13,1,0,0,0,3,0,0,0,0,0
1/2/2020 2:00,0,12,1,0,0,0,1,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0
1/2/2020 2:15,0,18,0,0,0,0,2,0,0,0,0,0,0,8,1,0,0,0,2,0,0,0,0,0
1/2/2020 2:30,0,15,1,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0
1/2/2020 2:45,0,12,1,0,0,0,2,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0
1/2/2020 3:00,0,10,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,3,0,0,0,0,0
1/2/2020 3:15,0,5,2,0,0,0,1,0,0,0,0,0,0,13,0,0,0,0,4,0,0,0,0,0
1/2/2020 3:30,0,10,0,0,0,0,1,0,1,0,0,0,1,12,2,0,0,0,2,0,1,0,0,0
1/2/2020 3:45,0,7,0,0,0,0,1,0,1,0,0,0,1,16,0,0,0,0,1,0,0,0,0,0
1/2/2020 4:00,0,8,0,0,0,0,0,0,0,0,0,0,0,23,2,0,0,0,1,1,1,0,0,0
1/2/2020 4:15,0,13,0,0,0,0,1,0,2,0,0,0,0,25,3,0,0,0,4,0,0,0,0,0
1/2/2020 4:30,0,14,0,0,0,0,1,0,0,0,0,0,0,28,0,0,0,0,3,0,0,0,0,0
1/2/2020 4:45,0,17,1,0,0,0,1,0,2,0,0,0,1,22,2,0,0,0,4,0,0,0,0,0
1/2/2020 5:00,0,32,1,0,0,0,1,0,1,0,0,0,3,50,1,0,0,0,5,1,0,0,0,0
1/2/2020 5:15,0,27,0,0,0,0,2,3,2,0,0,0,1,47,1,0,0,0,9,0,0,0,0,0
1/2/2020 5:30,0,41,0,0,0,0,5,2,8,0,0,0,1,53,3,0,0,0,8,1,1,0,0,0
1/2/2020 5:45,1,44,4,0,0,0,3,3,12,0,0,0,4,99,9,0,0,0,12,0,1,0,0,0
1/2/2020 6:00,1,45,1,0,0,0,9,3,3,0,0,0,3,110,6,0,0,0,14,2,4,0,0,0
1/2/2020 6:15,0,47,3,0,0,0,10,1,9,0,0,0,8,118,14,0,0,0,14,3,2,0,0,0
1/2/2020 6:30,1,69,0,0,0,0,2,5,11,0,0,0,1,124,20,0,0,0,22,6,0,0,0,0
1/2/2020 6:45,0,67,1,0,0,0,3,5,15,0,0,0,5,138,22,0,0,0,16,1,1,0,0,0
1/2/2020 7:00,1,63,3,0,0,0,10,4,8,0,0,0,4,139,6,0,0,0,21,3,0,0,0,0
1/2/2020 7:15,1,67,2,0,0,0,22,3,8,0,0,0,9,150,19,0,0,0,19,6,1,0,0,0
1/2/2020 7:30,1,67,4,0,0,0,13,6,17,0,0,0,14,180,17,0,0,0,13,3,2,0,0,0
1/2/2020 7:45,3,88,8,0,0,0,8,15,17,0,0,0,9,161,30,0,0,0,14,6,1,0,0,0
1/2/2020 8:00,2,71,5,0,0,0,12,10,8,0,0,0,6,181,17,0,0,0,12,2,1,0,0,0
1/2/2020 8:15,2,74,2,0,0,0,7,5,8,0,0,0,13,159,17,0,0,0,16,7,1,0,0,0
1/2/2020 8:30,2,88,2,0,0,0,7,4,11,0,0,0,7,186,19,0,0,0,10,8,1,0,0,0
1/2/2020 8:45,0,75,4,0,0,0,14,6,11,0,0,0,12,139,11,0,0,0,13,6,1,0,0,0
1/2/2020 9:00,1,67,2,0,0,0,15,2,5,0,0,0,8,152,9,0,0,0,15,4,3,0,0,0
1/2/2020 9:15,1,67,3,0,0,0,10,10,8,0,0,0,7,124,13,0,0,0,15,4,1,0,0,0
1/2/2020 9:30,3,59,1,0,0,0,8,6,7,0,0,0,15,139,13,0,0,0,10,6,4,0,0,0
1/2/2020 9:45,1,94,2,0,0,0,13,3,8,0,0,0,8,129,11,0,0,0,20,3,1,0,0,0
1/2/2020 10:00,2,96,9,0,0,0,5,11,17,0,0,0,15,125,8,0,0,0,14,3,4,0,0,0
1/2/2020 10:15,2,103,5,0,0,0,8,7,18,0,0,0,6,133,12,0,0,0,12,3,5,0,0,0
1/2/2020 10:30,1,97,3,0,0,0,4,7,11,0,0,0,10,124,21,0,0,0,20,14,5,0,0,0
1/2/2020 10:45,1,98,5,0,0,0,5,10,18,0,0,0,5,138,10,0,0,0,15,6,0,0,0,0
1/2/2020 11:00,1,69,7,0,0,0,6,3,17,0,0,0,7,154,13,0,0,0,12,7,5,0,0,0
1/2/2020 11:15,0,99,2,0,0,0,13,8,15,0,0,0,23,156,14,0,0,0,21,12,1,0,0,0
1/2/2020 11:30,1,96,7,0,0,0,10,10,15,0,0,0,8,156,10,0,0,0,6,8,1,0,0,0
1/2/2020 11:45,0,143,7,0,0,0,13,12,9,0,0,0,10,162,14,0,0,0,13,7,5,0,0,0
1/2/2020 12:00,3,130,7,0,0,0,7,9,22,0,0,0,10,184,20,0,0,0,34,16,6,0,0,0
1/2/2020 12:15,3,144,8,0,0,0,10,9,11,0,0,0,12,151,25,0,0,0,13,10,2,0,0,0
1/2/2020 12:30,3,127,6,0,0,0,22,17,15,0,0,0,16,159,23,0,0,0,20,14,7,0,0,0
1/2/2020 12:45,3,128,10,0,0,0,7,23,14,0,0,0,19,174,10,0,0,0,18,9,5,0,0,0
1/2/2020 13:00,0,110,8,0,0,0,7,11,24,0,0,0,16,172,22,0,0,0,15,18,4,0,0,0
1/2/2020 13:15,4,130,8,0,0,0,13,12,21,0,0,0,12,143,30,0,0,0,23,5,5,0,0,0
1/2/2020 13:30,2,165,12,0,0,0,15,16,24,0,0,0,10,145,14,0,0,0,24,6,5,0,0,0
1/2/2020 13:45,2,147,7,0,0,0,6,11,14,0,0,0,13,150,16,0,0,0,21,17,2,0,0,0
1/2/2020 14:00,1,166,7,0,0,0,11,15,15,0,0,0,11,159,18,0,0,0,24,10,8,0,0,0
1/2/2020 14:15,0,165,9,0,0,0,8,12,15,0,0,0,11,160,20,0,0,0,28,10,4,0,0,0
1/2/2020 14:30,4,154,7,0,0,0,9,22,25,0,0,0,15,166,16,0,0,0,34,10,3,0,0,0
1/2/2020 14:45,3,155,8,0,0,0,7,12,16,0,0,0,10,147,26,0,0,0,24,16,1,0,0,0
1/2/2020 15:00,0,188,8,0,0,0,13,22,18,0,0,0,10,155,26,0,0,0,53,18,6,0,0,0
1/2/2020 15:15,3,178,10,0,0,0,16,10,21,0,0,0,18,166,25,0,0,0,20,16,2,0,0,0
1/2/2020 15:30,0,222,11,0,0,0,12,8,27,0,0,0,12,184,17,0,0,0,38,13,4,0,0,0
1/2/2020 15:45,2,225,20,0,0,0,8,15,26,0,0,0,10,172,24,0,0,0,19,12,6,0,0,0
1/2/2020 16:00,4,210,20,0,0,0,14,17,26,0,0,0,12,144,24,0,0,0,44,18,5,0,0,0
1/2/2020 16:15,1,256,9,0,0,0,4,12,21,0,0,0,16,153,18,0,0,0,19,9,1,0,0,0
1/2/2020 16:30,1,276,18,0,0,0,9,15,14,0,0,0,15,171,18,0,0,0,23,13,4,0,0,0
1/2/2020 16:45,2,295,17,0,0,0,11,8,17,0,0,0,15,185,22,0,0,0,15,9,5,0,0,0
1/2/2020 17:00,0,235,14,0,0,0,11,10,17,0,0,0,14,166,21,0,0,0,20,10,1,0,0,0
1/2/2020 17:15,3,263,30,0,0,0,16,12,17,0,0,0,16,204,13,0,0,0,14,11,6,0,0,0
1/2/2020 17:30,7,220,15,0,0,0,15,15,10,0,0,0,11,186,22,0,0,0,10,7,8,0,0,0
1/2/2020 17:45,4,285,13,0,0,0,12,12,16,0,0,0,18,189,17,0,0,0,22,11,3,0,0,0
1/2/2020 18:00,2,188,6,0,0,0,14,13,13,0,0,0,13,163,16,0,0,0,15,7,3,0,0,0
1/2/2020 18:15,3,210,14,0,0,0,10,10,11,0,0,0,10,156,14,0,0,0,20,12,2,0,0,0
1/2/2020 18:30,1,142,7,0,0,0,7,9,9,0,0,0,9,120,15,0,0,0,18,11,4,0,0,0
1/2/2020 18:45,5,139,6,0,0,0,4,6,7,0,0,0,9,138,10,0,0,0,18,8,5,0,0,0
1/2/2020 19:00,5,113,5,0,0,0,6,11,9,0,0,0,11,118,13,0,0,0,11,6,5,0,0,0
1/2/2020 19:15,5,151,7,0,0,0,7,8,18,0,0,0,13,108,18,0,0,0,12,11,6,0,0,0
1/2/2020 19:30,1,135,4,0,0,0,15,4,18,0,0,0,10,110,18,0,0,0,19,6,3,0,0,0
1/2/2020 19:45,0,138,7,0,0,0,11,7,8,0,0,0,5,95,9,0,0,0,8,2,1,0,0,0
1/2/2020 20:00,0,112,7,0,0,0,4,4,15,0,0,0,8,94,13,0,0,0,12,2,2,0,0,0
1/2/2020 20:15,0,115,7,0,0,0,5,4,11,0,0,0,10,91,8,0,0,0,9,6,2,0,0,0
1/2/2020 20:30,0,103,6,0,0,0,3,6,6,0,0,0,11,105,7,0,0,0,8,8,2,0,0,0
1/2/2020 20:45,1,111,9,0,0,0,9,0,7,0,0,0,7,72,6,0,0,0,11,4,2,0,0,0
1/2/2020 21:00,1,93,5,0,0,0,3,3,4,0,0,0,7,91,3,0,0,0,9,2,0,0,0,0
1/2/2020 21:15,1,100,6,0,0,0,1,7,7,0,0,0,9,80,12,0,0,0,9,4,2,0,0,0
1/2/2020 21:30,0,85,5,0,0,0,2,4,4,0,0,0,5,80,12,0,0,0,10,7,1,0,0,0
1/2/2020 21:45,0,91,3,0,0,0,8,1,13,0,0,0,7,71,5,0,0,0,6,2,2,0,0,0
1/2/2020 22:00,1,102,3,0,0,0,7,4,4,0,0,0,8,63,9,0,0,0,9,1,0,0,0,0
1/2/2020 22:15,0,74,9,0,0,0,6,5,2,0,0,0,3,56,7,0,0,0,8,1,2,0,0,0
1/2/2020 22:30,1,69,2,0,0,0,1,3,5,0,0,0,6,53,7,0,0,0,4,2,1,0,0,0
1/2/2020 22:45,1,71,4,0,0,0,6,1,6,0,0,0,4,74,11,0,0,0,4,2,1,0,0,0
1/2/2020 23:00,0,63,6,0,0,0,1,0,4,0,0,0,6,55,9,0,0,0,20,1,2,0,0,0
1/2/2020 23:15,0,52,2,0,0,0,2,1,2,0,0,0,7,61,9,0,0,0,10,0,0,0,0,0
1/2/2020 23:30,1,52,3,0,0,0,1,2,3,0,0,0,2,43,6,0,0,0,14,3,0,0,0,0
1/2/2020 23:45,1,40,1,0,0,0,1,1,2,0,0,0,7,38,8,0,0,0,12,1,0,0,0,0
1/3/2020 0:00,1,51,2,0,0,0,1,1,3,0,0,0,1,39,3,0,0,0,7,0,0,0,0,0
1/3/2020 0:15,0,31,4,0,0,0,2,2,4,0,0,0,2,34,2,0,0,0,4,0,0,0,0,0
1/3/2020 0:30,1,27,4,0,0,0,1,0,1,0,0,0,1,29,1,0,0,0,1,1,0,0,0,0
1/3/2020 0:45,0,33,2,0,0,0,3,0,0,0,0,0,2,30,0,0,0,0,2,0,0,0,0,0
1/3/2020 1:00,1,25,5,0,0,0,1,0,1,0,0,0,2,21,2,0,0,0,2,0,0,0,0,0
1/3/2020 1:15,0,25,0,0,0,0,1,0,1,0,0,0,1,23,2,0,0,0,2,0,0,0,0,0
1/3/2020 1:30,3,19,0,0,0,0,5,0,1,0,0,0,2,23,1,0,0,0,0,0,0,0,0,0
1/3/2020 1:45,0,36,2,0,0,0,0,1,1,0,0,0,1,16,3,0,0,0,1,1,0,0,0,0
1/3/2020 2:00,0,23,0,0,0,0,1,0,2,0,0,0,1,18,1,0,0,0,0,0,0,0,0,0
1/3/2020 2:15,0,25,1,0,0,0,0,0,1,0,0,0,3,14,2,0,0,0,0,0,0,0,0,0
1/3/2020 2:30,0,25,0,0,0,0,0,0,0,0,0,0,1,14,2,0,0,0,1,0,0,0,0,0
1/3/2020 2:45,0,9,0,0,0,0,0,0,1,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0
1/3/2020 3:00,0,16,1,0,0,0,2,0,0,0,0,0,1,12,0,0,0,0,2,0,0,0,0,0
1/3/2020 3:15,0,11,0,0,0,0,3,0,0,0,0,0,1,10,2,0,0,0,2,0,0,0,0,0
1/3/2020 3:30,0,13,0,0,0,0,2,0,0,0,0,0,0,22,1,0,0,0,0,0,0,0,0,0
1/3/2020 3:45,0,10,0,0,0,0,1,0,1,0,0,0,0,10,1,0,0,0,3,0,0,0,0,0
1/3/2020 4:00,0,6,0,0,0,0,0,0,1,0,0,0,0,23,1,0,0,0,4,1,0,0,0,0
1/3/2020 4:15,0,15,1,0,0,0,1,0,2,0,0,0,0,22,3,0,0,0,3,0,0,0,0,0
1/3/2020 4:30,0,13,0,0,0,0,1,0,0,0,0,0,2,28,0,0,0,0,3,0,0,0,0,0
1/3/2020 4:45,0,17,2,0,0,0,2,0,1,0,0,0,2,28,2,0,0,0,4,0,0,0,0,0
